"gid","flsid","date","venue","doorprice","attendance","recorded_by","mastered_by","original_source","tour","city","subdivision","country","year","checked","x","y","sound_quality","seconds"
"louisville-ky-usa-112798","FLS0886",1998-11-27,"Highland Hall","6",1100,"Joey Picuri","Jerry Busher","DAT","1998 Fall Mid-West USA Tour","Louisville","KY","USA",1998,1,-85.674857,38.2161822,"Good",4593
"louisville-ky-usa-40402","FLS1025",2002-04-04,"Spectrum Cultural Center","6",1350,"Nick Pellicciotto","Warren Russell-Smith","CD","2002 Spring Southern USA/Texas Tour","Louisville","KY","USA",2002,1,-85.752282,38.2407479,"Very Good",4456
"louisville-ky-usa-60891","FLS0360",1991-06-08,"Tewligans","5",350,"Joey Picuri","Warren Russell-Smith","Cassette","1991 Spring USA Tour","Louisville","KY","USA",1991,1,-85.72237,38.2394854,"Good",2898
"louisville-ky-usa-62690","FLS0239",1990-06-26,"Kentucky Theater","5",400,"Joey Picuri","Warren Russell-Smith","Cassette","1990 Spring/Summer USA Tour","Louisville","KY","USA",1990,1,-85.757787,38.2471708,"Good",5273
"lubbock-tx-usa-41893","FLS0523",1993-04-18,"19th st. Depot Warehouse","5",400,"Joey Picuri","Jerry Busher","DAT","1993 Spring USA Tour","Lubbock","TX","USA",1993,1,-101.844538,33.5781797,"Very Good",5161
"lubeck-germany-102188","FLS0058",1988-10-21,"Alternative",NA,198.714285714286,"ANON",NA,"Cassette","1988 Fall European Tour","Lubeck",NA,"Germany",1988,1,10.67723,53.869894,"Good",4733
"lund-sweden-100800","FLS0980",2000-10-08,"Mejeriet",NA,350,"Nick Pellicciotto","Jerry Busher","DAT","2000 Fall Northern European Tour","Lund",NA,"Sweden",2000,1,13.18852,55.696097,"Very Good",5971
"lyon-france-103090","FLS0297",1990-10-30,"Salle des Fetes","50FR",500,"Joey Picuri","Warren Russell-Smith","Cassette","1990 Fall European Tour","Lyon","","France",1990,1,4.72912,45.7491503,"Good",4743
"lyon-france-60895","FLS0683",1995-06-08,"Espace Jean Bargoin",NA,800,"Tom Korbler","Warren Russell-Smith","Cassette","1995 Spring/Summer European Tour","Lyon","","France",1995,1,4.879248,45.7362792,"Very Good",4968
"madison-wi-usa-61990","FLS0233",1990-06-19,"Neighborhood House","5",400,"Joey Picuri","Jerry Busher","Cassette","1990 Spring/Summer USA Tour","Madison","WI","USA",1990,1,-89.403783,43.0667627,"Good",3232
"madison-wi-usa-80991","FLS0376",1991-08-09,"Turner Hall","5",850,"Joey Picuri","Warren Russell-Smith","Cassette","1991 Summer/Fall USA/Canada Tour","Madison","WI","USA",1991,1,-89.307686,43.054469,"Good",3703
"madrid-spain-60292","FLS0456",1992-06-02,"Revolver",NA,350,"Joey Picuri","Warren Russell-Smith","Cassette","1992 Spring European Tour","Madrid",NA,"Spain",1992,1,-3.707417,40.4206923,"Very Good",5368
"madrid-spain-60295","FLS0678",1995-06-02,"Revolver",NA,1000,"Joey Picuri","Warren Russell-Smith","Cassette","1995 Spring/Summer European Tour","Madrid",NA,"Spain",1995,1,-3.707417,40.4206923,"Very Good",5074
"mainz-germany-101290","FLS0281",1990-10-12,"Eltzerhof","12 DM",1100,"Joey Picuri","Warren Russell-Smith","Cassette","1990 Fall European Tour","Mainz","","Germany",1990,1,8.267551,50.0043734,"Very Good",5127
"mainz-germany-70195","FLS0703",1995-07-01,"Kuze",NA,600,"Joey Picuri","Warren Russell-Smith","Cassette","1995 Spring/Summer European Tour","Mainz",NA,"Germany",1995,1,8.282149,49.9947594,"Good",4546
"manchester-england-103002","FLS1040",2002-10-30,"Manchester University",NA,1618.75,"Nick Pellicciotto","Warren Russell-Smith","DAT","2002 Fall UK/Ireland Tour","Manchester",NA,"England",2002,1,-2.23216,53.464375,"Very Good",5066
"manchester-england-112889","FLS0166",1989-11-28,"Boardwalk","3.50 Pounds",400,"Unknown","Jerry Busher","Cassette","1989 Fall European Tour","Manchester",NA,"England",1989,1,-2.250476,53.4736904,"Very Good",3984
"manchester-england-50795","FLS0657",1995-05-07,"Academy",NA,1200,"Joey Picuri","Warren Russell-Smith","Cassette","1995 Spring/Summer European Tour","Manchester",NA,"England",1995,1,-2.23145,53.463697,"Good",4411
"manchester-england-51299","FLS0920",1999-05-12,"University Student Union","6(pounds)",936,NA,NA,NA,"1999 Spring UK/Ireland Tour","Manchester",NA,"England",1999,1,-2.23216,53.464375,NA,NA
"manchester-england-51492","FLS0441",1992-05-14,"Irish Centre Ardri Hall","3-5Pounds",800,"Joey Picuri","Jerry Busher","Cassette","1992 Spring European Tour","Manchester",NA,"England",1992,1,-2.239584,53.4643701,"Very Good",4425
"manly-australia-111993","FLS0612",1993-11-19,"Manly High School",NA,600,"Joey Picuri","Warren Russell-Smith","Cassette","1993 Japan/Australia/New Zealand Tour","Manly","NSW","Australia",1993,1,151.280612,-33.7625875,"Good",4041
"manly-nsw-australia-102691","FLS0407",1991-10-26,"Manly Youth Center",NA,700,"Joey Picuri",NA,"Cassette","1991 Australia/New Zealand/Japan Tour","Manly","NSW","Australia",1991,1,151.28437,-33.7947489,"Very Good",4149
"marghera-italy-92999","FLS0935",1999-09-29,"Rivolta",NA,1800,NA,NA,NA,"1999 Fall European Tour","Marghera","","Italy",1999,1,12.229879,45.4703028,NA,NA
"marseille-france-100799","FLS0943",1999-10-07,"Theatre Du Moulin",NA,450,"Nick Pellicciotto","Warren Russell-Smith","DAT","1999 Fall European Tour","Marseille","","France",1999,1,5.407749,43.3193872,"Very Good",5752
"marseille-france-60795","FLS0682",1995-06-07,"Mirabeau",NA,400,NA,NA,NA,"1995 Spring/Summer European Tour","Marseille","","France",1995,1,5.34556,43.347276,NA,NA
"maui-hi-usa-101796","FLS0792",1996-10-17,"Maui Cultural Center","8",400,"Nick Pellicciotto",NA,"DAT","1996 US/Japan/Hong Kong/Australia Tour","Maui","HI","USA",1996,1,-156.480702,20.8937969,"Very Good",4088
"maui-hi-usa-101896","FLS0793",1996-10-18,"Maui Cultural Center","8",400,"Nick Pellicciotto","Warren Russell-Smith","DAT","1996 US/Japan/Hong Kong/Australia Tour","Maui","HI","USA",1996,1,-156.480702,20.8937969,"Very Good",4172
"mechanicsburg-pa-usa-81993","FLS0563",1993-08-19,"Decibels","5",1000,"Joey Picuri","Jerry Busher","DAT","1993 Fall USA/Canada Tour","Mechanicsburg","PA","USA",1993,1,-77.028285,40.2445904,"Very Good",5109
"melbourne-australia-61797","FLS0822",1997-06-17,"Lava Lounge",NA,967.5,"Nick Pellicciotto","Fugazi","DAT","1997 Summer Australia/New Zealand Tour","Melbourne","VIC","Australia",1997,1,145.34572,-38.030862,"Very Good",5440
"melbourne-australia-61897","FLS0823",1997-06-18,"Lava Lounge",NA,967.5,"Nick Pellicciotto","Fugazi","DAT","1997 Summer Australia/New Zealand Tour","Melbourne","VIC","Australia",1997,1,145.34572,-38.030862,"Excellent",5528
"melbourne-vic-australia-101891","FLS0401",1991-10-18,"Melbourne Uni",NA,1150,"Joey Picuri","Warren Russell-Smith","Cassette","1991 Australia/New Zealand/Japan Tour","Melbourne","VIC","Australia",1991,1,144.960841,-37.7968615,"Very Good",3959
"melbourne-vic-australia-102091","FLS0403",1991-10-20,"Melbourne Uni",NA,750,"Joey Picuri","Warren Russell-Smith","Cassette","1991 Australia/New Zealand/Japan Tour","Melbourne","VIC","Australia",1991,1,144.960841,-37.7968615,"Very Good",4714
"melbourne-vic-australia-111393","FLS0608",1993-11-13,"Wall St.",NA,750,"Joey Picuri","Warren Russell-Smith","Cassette","1993 Japan/Australia/New Zealand Tour","Melbourne","VIC","Australia",1993,1,144.965996,-37.8147268,"Good",4098
"melbourne-vic-australia-111493","FLS0609",1993-11-14,"Collingwood Town Hall",NA,1300,"Joey Picuri","Warren Russell-Smith","Cassette","1993 Japan/Australia/New Zealand Tour","Melbourne","VIC","Australia",1993,1,144.992844,-37.8039481,"Good",5189
"memphis-tn-usa-112598","FLS0884",1998-11-25,"New Daisy Theater","6",900,"Joey Picuri","Warren Russell-Smith","DAT","1998 Fall Mid-West USA Tour","Memphis","TN","USA",1998,1,-90.050117,35.1395112,"Good",4874
"memphis-tn-usa-40793","FLS0513",1993-04-07,"Omni New Daisy","5",850,"Joey Picuri","Jerry Busher","DAT","1993 Spring USA Tour","Memphis","TN","USA",1993,1,-90.050117,35.1395112,"Very Good",5000
"memphis-tn-usa-50290","FLS0201",1990-05-02,"Antennae Club","$5",300,"Joey Picuri","Jerry Busher","Cassette","1990 Spring/Summer USA Tour","Memphis","TN","USA",1990,1,-90.008215,35.1382872,"Very Good",4369
"memphis-tn-usa-52291","FLS0347",1991-05-22,"Antennae Club","5",480,"Joey Picuri","Warren Russell-Smith","Cassette","1991 Spring USA Tour","Memphis","TN","USA",1991,1,-90.008215,35.1382872,"Good",3542
"merrifield-va-usa-22088","FLS0014",1988-02-20,"Merrifield Community Center","$5",250,"John Fox","Warren Russell-Smith",NA,"1988 Winter/Spring Regional Dates","Merrifield","VA","USA",1988,1,-77.224424,38.8754828,"Poor",2833
"miami-fl-usa-51691","FLS0342",1991-05-16,"Cameo Theater","5",1390,"Joey Picuri","Warren Russell-Smith","Cassette","1991 Spring USA Tour","Miami","FL","USA",1991,1,-80.131387,25.7871369,"Good",4432
"middletown-ct-usa-120487","FLS0009",1987-12-04,"Wesleyan University Eclectic House","$5",100,NA,NA,NA,"1987 Fall/Winter Regional Dates","Middletown","CT","USA",1987,1,-72.654229,41.5551459,NA,NA
"middletown-ct-usa-40889","FLS0099",1989-04-08,"Wesleyan University Eclectic House",NA,452.105263157895,"Rick Libby and Chris Locke","Warren Russell-Smith","Cassette","1989 Spring USA Tour","Middletown","CT","USA",1989,1,-72.654229,41.5551459,"Good",3863
"middletown-ct-usa-41588","FLS0019",1988-04-15,"Wesleyan University Eclectic House","$5",300,NA,NA,NA,"1988 Spring USA Tour","Middletown","CT","USA",1988,1,-72.654229,41.5551459,NA,NA
"milan-italy-100299","FLS0939",1999-10-02,"Leoncavallo",NA,1135.859375,"Nick Pellicciotto","Jerry Busher","DAT","1999 Fall European Tour","Milan","","Italy",1999,1,9.207595,45.5015172,"Very Good",6320
"milan-italy-111988","FLS0079",1988-11-19,"Leoncavallo",NA,198.714285714286,"Overdrive",NA,NA,"1988 Fall European Tour","Milan","","Italy",1988,1,9.207595,45.5015172,"Good",2768
"milan-italy-61295","FLS0686",1995-06-12,"Cascina Monlue",NA,3000,"Tom Korbler","Warren Russell-Smith","Cassette","1995 Spring/Summer European Tour","Milan",NA,"Italy",1995,1,9.2542,45.4573526,"Very Good",4270
"milano-italy-102590","FLS0292",1990-10-25,"Leoncavallo","5000 Lira",1000,"Joey Picuri","Warren Russell-Smith","Cassette","1990 Fall European Tour","Milan","","Italy",1990,1,9.207595,45.5015172,"Very Good",4578
"milwaukee-wi-usa-101395","FLS0734",1995-10-13,"Rave","5",1500,"Joey Picuri","Warren Russell-Smith","DAT","1995 Fall USA/Canada Tour","Milwaukee","WI","USA",1995,1,-87.94336,43.037876,"Good",4978
"milwaukee-wi-usa-111398","FLS0873",1998-11-13,"Rave","6",1500,"Joey Picuri","Warren Russell-Smith","DAT","1998 Fall Mid-West USA Tour","Milwaukee","WI","USA",1998,1,-87.94336,43.037876,"Good",4447
"milwaukee-wi-usa-60989","FLS0124",1989-06-09,"Crystal Palace","$5",350,"ANON",NA,"VHS","1989 Spring USA Tour","Milwaukee","WI","USA",1989,1,-87.937692,43.0224499,"Poor",1704
"milwaukee-wi-usa-81091","FLS0377",1991-08-10,"Central Park","5",850,"Joey Picuri","Warren Russell-Smith","Cassette","1991 Summer/Fall USA/Canada Tour","Milwaukee","WI","USA",1991,1,-87.94336,43.037876,"Very Good",3135
"milwaukee-wi-usa-90293","FLS0574",1993-09-02,"Eagle's Ballroom","5",1300,"Joey Picuri","Jerry Busher","DAT","1993 Fall USA/Canada Tour","Milwaukee","WI","USA",1993,1,-87.94336,43.037876,"Very Good",5075
"minneapolis-mn-usa-101495","FLS0735",1995-10-14,"First Avenue","5",1700,"Joey Picuri","Warren Russell-Smith","DAT","1995 Fall USA/Canada Tour","Minneapolis","MN","USA",1995,1,-93.275978,44.9785509,"Very Good",4583
"minneapolis-mn-usa-101595","FLS0736",1995-10-15,"First Avenue","5",1700,"Joey Picuri","Warren Russell-Smith","DAT","1995 Fall USA/Canada Tour","Minneapolis","MN","USA",1995,1,-93.275978,44.9785509,"Very Good",5510
"minneapolis-mn-usa-111598","FLS0875",1998-11-15,"First Avenue","6",1711,"Joey Picuri","Warren Russell-Smith","DAT","1998 Fall Mid-West USA Tour","Minneapolis","MN","USA",1998,1,-93.275978,44.9785509,"Very Good",6053
"minneapolis-mn-usa-52393","FLS0549",1993-05-23,"First Avenue","5",1600,"Joey Picuri","Warren Russell-Smith","DAT","1993 Spring USA Tour","Minneapolis","MN","USA",1993,1,-93.275978,44.9785509,"Very Good",4869
"minneapolis-mn-usa-52493","FLS0550",1993-05-24,"First Avenue","5",1600,"Joey Picuri","Warren Russell-Smith","DAT","1993 Spring USA Tour","Minneapolis","MN","USA",1993,1,-93.275978,44.9785509,"Very Good",5310
"minneapolis-mn-usa-52593","FLS0551",1993-05-25,"First Avenue","5",1200,"Joey Picuri","Warren Russell-Smith","DAT","1993 Spring USA Tour","Minneapolis","MN","USA",1993,1,-93.275978,44.9785509,"Very Good",5379
"minneapolis-mn-usa-61189","FLS0126",1989-06-11,"7th Street Entry","$5",450,NA,NA,NA,"1989 Spring USA Tour","Minneapolis","MN","USA",1989,1,-93.27583,44.9784606,NA,NA
"minneapolis-mn-usa-61690","FLS0231",1990-06-16,"Avalon Theater","5",1100,"Joey Picuri","Warren Russell-Smith","Cassette","1990 Spring/Summer USA Tour","Minneapolis","MN","USA",1990,1,-93.253569,44.9486133,"Good",5019
"minneapolis-mn-usa-62701","FLS1003",2001-06-27,"First Avenue","6",1700,"Joey Picuri","Fugazi","DAT","2001 Summer Mid-West/Canada Tour","Minneapolis","MN","USA",2001,1,-93.275978,44.9785509,"Very Good",5882
"minneapolis-mn-usa-81291","FLS0379",1991-08-12,"First Avenue","5",1550,"Joey Picuri","Warren Russell-Smith","Cassette","1991 Summer/Fall USA/Canada Tour","Minneapolis","MN","USA",1991,1,-93.275978,44.9785509,"Very Good",5502
"missoula-mt-usa-60490","FLS0222",1990-06-04,"Moose Lodge","4",225,"Joey Picuri","Warren Russell-Smith","Cassette","1990 Spring/Summer USA Tour","Missoula","MT","USA",1990,1,-114.029858,46.860304,"Excellent",4837
"modena-italy-60892","FLS0461",1992-06-08,"Dancing Condor",NA,600,"Joey Picuri","Warren Russell-Smith","Cassette","1992 Spring European Tour","Modena",NA,"Italy",1992,1,10.931098,44.6525479,"Very Good",5182
"montreal-qc-canada-72198","FLS0865",1998-07-21,"Spectrum","9(can)",650,"Joey Picuri","Warren Russell-Smith","DAT","1998 Summer Canada/USA Tour","Montreal","QC","Canada",1998,1,-73.56664,45.5065982,"Very Good",5938
"montreal-qc-canada-80291","FLS0370",1991-08-02,"Rialto Theatre","6 (ca)",1160,"Joey Picuri","Warren Russell-Smith","Cassette","1991 Summer/Fall USA/Canada Tour","Montreal","QC","Canada",1991,1,-73.6048,45.523619,"Good",4561
"montreal-qc-canada-91293","FLS0583",1993-09-12,"Metropolis","6 (canadian)",2100,"Joey Picuri","Warren Russell-Smith","DAT","1993 Fall USA/Canada Tour","Montreal","QC","Canada",1993,1,-73.563397,45.5105814,"Very Good",4866
"montreal-qc-canada-92395","FLS0717",1995-09-23,"Metropolis","7(can)",1500,"Joey Picuri","Warren Russell-Smith","DAT","1995 Fall USA/Canada Tour","Montreal","QC","Canada",1995,1,-73.563397,45.5105814,"Good",4481
"morgantown-wv-usa-112998","FLS0888",1998-11-29,"123 Pleasant St.","5",400,"Joey Picuri","Warren Russell-Smith","DAT","1998 Fall Mid-West USA Tour","Morgantown","WV","USA",1998,1,-79.958036,39.629555,"Poor",5227
"morgantown-wv-usa-42889","FLS0101",1989-04-28,"Dry House","$4",120,NA,NA,NA,"1989 Spring USA Tour","Morgantown","WV","USA",1989,1,-79.958036,39.629555,NA,NA
"morgantown-wv-usa-50688","FLS0025",1988-05-06,"Dry House",NA,20,NA,NA,NA,"1988 Spring USA Tour","Morgantown","WV","USA",1988,1,-79.958036,39.629555,NA,NA
"morgantown-wv-usa-63090","FLS0243",1990-06-30,"Machine Shop","5",250,"Joey Picuri","Warren Russell-Smith","Cassette","1990 Spring/Summer USA Tour","Morgantown","WV","USA",1990,1,-79.958036,39.629555,"Good",4639
"munich-germany-101490","FLS0283",1990-10-14,"Theaterfabrik","12 DM",1400,"Joey Picuri","Jerry Busher","Cassette","1990 Fall European Tour","Munich","","Germany",1990,1,11.647285,48.173838,"Very Good",4321
"munich-germany-120589","FLS0171",1989-12-05,"Theaterfabrik","12DM",1000,NA,NA,NA,"1989 Fall European Tour","Munich","","Germany",1989,1,11.647285,48.173838,NA,NA
"munich-germany-61692","FLS0468",1992-06-16,"Theaterfabrik",NA,1600,"Joey Picuri","Jerry Busher","Cassette","1992 Spring European Tour","Munich","","Germany",1992,1,11.647285,48.173838,"Very Good",5302
"munich-germany-62695","FLS0699",1995-06-26,"Nachtwerk",NA,800,"Joey Picuri","Warren Russell-Smith","Cassette","1995 Spring/Summer European Tour","Munich",NA,"Germany",1995,1,11.522916,48.1397094,"Very Good",5340
"munich-germany-92599","FLS0932",1999-09-25,"Backstage",NA,753,"Nick Pellicciotto","Jerry Busher","DAT","1999 Fall European Tour","Munich","","Germany",1999,1,11.5216,48.1450485,"Very Good",5602
"nagold-germany-110488","FLS0069",1988-11-04,"Juz Nagold",NA,198.714285714286,"Karl-Heinz Stille",NA,"VHS Tape","1988 Fall European Tour","Nagold",NA,"Germany",1988,1,8.72333,48.5527422,"Good",3252
"nagoya-japan-102596","FLS0797",1996-10-25,"Heartland",NA,160,"Nick Pellicciotto","Warren Russell-Smith","DAT","1996 US/Japan/Hong Kong/Australia Tour","Nagoya",NA,"Japan",1996,1,136.919203,35.1693198,"Very Good",4315
"nagoya-japan-110393","FLS0601",1993-11-03,"Club Quattro","3500yen",160,"Joey Picuri","Jerry Busher","DAT","1993 Japan/Australia/New Zealand Tour","Nagoya",NA,"Japan",1993,1,136.908232,35.1637276,"Very Good",4623
"nancy-france-110690","FLS0303",1990-11-06,"Terminal Export",NA,641.56,"Joey Picuri","Fugazi","Cassette","1990 Fall European Tour","Nancy","","France",1990,1,6.191742,48.6966644,"Very Good",4961
"nancy-france-52195","FLS0669",1995-05-21,"Terminal Export",NA,1279.99130434783,"Joey Picuri","Warren Russell-Smith","Cassette","1995 Spring/Summer European Tour","Nancy","","France",1995,1,6.191742,48.6966644,"Very Good",4288
"nantes-france-101399","FLS0948",1999-10-13,"L'Olympic",NA,690,"Nick Pellicciotto","Jerry Busher","DAT","1999 Fall European Tour","Nantes","","France",1999,1,-1.588948,47.1996033,"Very Good",6202
"naples-italy-111688","FLS0076",1988-11-16,"Diamond Dogs",NA,198.714285714286,NA,NA,NA,"1988 Fall European Tour","Naples",NA,"Italy",1988,1,14.248027,40.8618386,NA,NA
"nashville-tn-usa-122099","FLS0961",1999-12-20,"328 Performance","6",800,"Nick Pellicciotto","Jerry Busher","DAT","1999 Fall/Winter Southern USA Tour","Nashville","TN","USA",1999,1,-86.7745,36.157402,"Very Good",5089
"nashville-tn-usa-32390","FLS0193",1990-03-23,"Elliston Square","$5",250,"Joey Picuri","Jerry Busher","Cassette","1990 Spring Southern USA Tour","Nashville","TN","USA",1990,1,-86.803838,36.1510977,"Good",3116
"nashville-tn-usa-40693","FLS0512",1993-04-06,"328 Performance","5",1500,"Joey Picuri","Jerry Busher","DAT","1993 Spring USA Tour","Nashville","TN","USA",1993,1,-86.7745,36.157402,"Very Good",5315
"nashville-tn-usa-41196","FLS0785",1996-04-11,"328 Performance","5",1500,"Nick Pellicciotto","Jerry Busher","DAT","1996 Southern USA Tour","Nashville","TN","USA",1996,1,-86.7745,36.157402,"Very Good",4575
"nashville-tn-usa-50791","FLS0334",1991-05-07,"Cannery","5",400,"Joey Picuri","Warren Russell-Smith","Cassette","1991 Spring USA Tour","Nashville","TN","USA",1991,1,-86.780505,36.1530527,"Good",4090
"nelson-new-zealand-62997","FLS0831",1997-06-29,"Nelson Arts Centre",NA,967.5,"Nick Pellicciotto","Warren Russell-Smith","DAT","1997 Summer Australia/New Zealand Tour","Nelson",NA,"New Zealand",1997,1,173.286512,-41.2765603,"Very Good",4601
"neuhausen-auf-den-fildern-germany-62392","FLS0474",1992-06-23,"Egelseehalle",NA,1000,"Joey Picuri","Warren Russell-Smith","Cassette","1992 Spring European Tour","Neuhausen auf den Fildern","","Germany",1992,1,9.282028,48.6734944,"Good",4947
"new-brunswick-nj-usa-92589","FLS0138",1989-09-25,"Rutgers University","$5",450,NA,NA,NA,"1989 Fall Canada/NE Tour","New Brunswick","NJ","USA",1989,1,-74.449036,40.5043304,NA,NA
"new-haven-ct-usa-41392","FLS0430",1992-04-13,"Rockbar","5",600,"ANON","Warren Russell-Smith",NA,"1992 Spring East Coast Tour","New Haven","CT","USA",1992,1,-72.925585,41.3051629,"Good",4570
"new-orleans-la-usa-32190","FLS0192",1990-03-21,"Storyville","$5",300,"Joey Picuri","Warren Russell-Smith","Cassette","1990 Spring Southern USA Tour","New Orleans","LA","USA",1990,1,-90.073379,29.9574247,"Good",4902
"new-orleans-la-usa-32702","FLS1018",2002-03-27,"Tipitina's","6",1000,"Nick Pellicciotto","Fugazi","CD","2002 Spring Southern USA/Texas Tour","New Orleans","LA","USA",2002,1,-90.100766,29.9172719,"Very Good",5676
"new-orleans-la-usa-40596","FLS0781",1996-04-05,"Tipitina's","5",1100,"Nick Pellicciotto",NA,"DAT","1996 Southern USA Tour","New Orleans","LA","USA",1996,1,-90.100766,29.9172719,"Very Good",4518
"new-orleans-la-usa-40993","FLS0515",1993-04-09,"New Orleans Music Hall","5",1400,"Joey Picuri","Jerry Busher","DAT","1993 Spring USA Tour","New Orleans","LA","USA",1993,1,-90.066092,29.9426915,"Very Good",5188
"new-york-city-ny-usa-120399","FLS0954",1999-12-03,"Roxy","5",2500,"Nick Pellicciotto","Warren Russell-Smith","DAT","1999 Fall/Winter Southern USA Tour","New York","NY","USA",1999,1,-74.004909,40.7194085,"Very Good",5216
"new-york-city-ny-usa-40395","FLS0643",1995-04-03,"Irving Plaza","6",1100,"Joey Picuri","Jerry Busher","Cassette","1995 USA East Coast Tour","New York","NY","USA",1995,1,-73.98844,40.7348818,"Very Good",4470
"new-york-city-ny-usa-40495","FLS0644",1995-04-04,"Irving Plaza","6",1100,"Joey Picuri","Warren Russell-Smith","Cassette","1995 USA East Coast Tour","New York","NY","USA",1995,1,-73.98844,40.7348818,"Good",5303
"new-york-city-ny-usa-40595","FLS0645",1995-04-05,"Irving Plaza","6",1100,"Joey Picuri","Warren Russell-Smith","DAT","1995 USA East Coast Tour","New York","NY","USA",1995,1,-73.98844,40.7348818,"Very Good",5049
"new-york-city-ny-usa-50197","FLS0813",1997-05-01,"Palladium","5",3000,"John Fazio",NA,"Cassette","1997 East Coast USA Tour","New York","NY","USA",1997,1,-73.987335,40.7507356,"Good",6202
"new-york-city-ny-usa-50297","FLS0814",1997-05-02,"NYU Loeb Center","5",1000,"Nick Pellicciotto","Fugazi","DAT","1997 East Coast USA Tour","New York","NY","USA",1997,1,-73.997827,40.7299366,"Very Good",6615
"new-york-city-ny-usa-92493","FLS0593",1993-09-24,"Roseland Ballroom","5",3500,"Joey Picuri","Warren Russell-Smith","DAT","1993 Fall USA/Canada Tour","New York","NY","USA",1993,1,-73.983933,40.7632592,"Very Good",4163
"new-york-city-ny-usa-92593","FLS0594",1993-09-25,"Roseland Ballroom","5",3500,"Joey Picuri","Jerry Busher","DAT","1993 Fall USA/Canada Tour","New York","NY","USA",1993,1,-73.983933,40.7632592,"Very Good",5499
"new-york-ny-usa-100989","FLS0149",1989-10-09,"Barnard College Cafeteria","$4",350,"ANON","Warren Russell-Smith",NA,"1989 Fall Canada/NE Tour","New York","NY","USA",1989,1,-73.96359,40.8095145,"Good",4392
"new-york-ny-usa-30491","FLS0313",1991-03-04,"Marquee","5",1100,"Joey Picuri","Jerry Busher","Cassette","1991 Winter/Spring East Coast USA Tour","New York","NY","USA",1991,1,-74.002805,40.7500995,"Very Good",5286
"new-york-ny-usa-30591","FLS0314",1991-03-05,"Marquee","5",1100,"Joey Picuri","Warren Russell-Smith","Cassette","1991 Winter/Spring East Coast USA Tour","New York","NY","USA",1991,1,-74.002805,40.7500995,"Good",4862
"new-york-ny-usa-32588","FLS0016",1988-03-25,"Columbia University","$5",200,NA,NA,NA,"1988 Winter/Spring Regional Dates","New York","NY","USA",1988,1,-73.962572,40.8075355,NA,NA
"new-york-ny-usa-40589","FLS0096",1989-04-05,"NYU Student Union",NA,150,"Jim Spellman","Warren Russell-Smith","VHS audio","1989 Spring USA Tour","New York","NY","USA",1989,1,-73.997859,40.7299045,"Good",2692
"new-york-ny-usa-40892","FLS0425",1992-04-08,"Ritz","5",3000,NA,NA,NA,"1992 Spring East Coast Tour","New York","NY","USA",1992,1,-73.975999,40.7652719,NA,NA
"new-york-ny-usa-42091","FLS0328",1991-04-20,"Columbia University","Free",1000,"Joey Picuri","Warren Russell-Smith","Cassette","1991 Spring Regional Dates","New York","NY","USA",1991,1,-73.962572,40.8075355,"Very Good",5178
"newark-de-usa-41495","FLS0653",1995-04-14,"University of Delaware Carpenter Hall","5",1300,"Joey Picuri","Warren Russell-Smith","Cassette","1995 USA East Coast Tour","Newark","DE","USA",1995,1,-75.752259,39.6843533,"Poor",3707
"newcastle-australia-111696","FLS0811",1996-11-16,"Cambridge Hotel",NA,550,"Nick Pellicciotto","Warren Russell-Smith","DAT","1996 US/Japan/Hong Kong/Australia Tour","Newcastle","NSW","Australia",1996,1,151.7577,-32.9248321,"Very Good",4922
"newcastle-australia-112493","FLS0614",1993-11-24,"Morrow Park Bowls Club",NA,450,"Joey Picuri","Jerry Busher","Cassette","1993 Japan/Australia/New Zealand Tour","Newcastle","NSW","Australia",1993,1,151.754838,-32.9221783,"Very Good",4826
"newcastle-england-112689","FLS0164",1989-11-26,"Riverside","3.50 Pounds",500,"ANON","Warren Russell-Smith",NA,"1989 Fall European Tour","Newcastle-Upon-Tyne",NA,"England",1989,1,-1.605,54.9717,"Good",2867
"newcastle-england-50299","FLS0912",1999-05-02,"Riverside","6(pounds)",450,"Joey Picuri","Warren Russell-Smith","DAT","1999 Spring UK/Ireland Tour","Newcastle-Upon-Tyne",NA,"England",1999,1,-1.605,54.9717,"Very Good",5859
"newcastle-england-51592","FLS0442",1992-05-15,"Riverside","3-5Pounds",720,"Joey Picuri","Warren Russell-Smith","Cassette","1992 Spring European Tour","Newcastle-Upon-Tyne",NA,"England",1992,1,-1.605,54.9717,"Very Good",4699
"newcastle-england-91490","FLS0256",1990-09-14,"Riverside",NA,600,"Joey Picuri","Jerry Busher","Cassette","1990 Fall European Tour","Newcastle-Upon-Tyne","","England",1990,1,-1.605,54.9717,"Good",4523
"newport-wales-112888","FLS0085",1988-11-28,"TJ's",NA,198.714285714286,NA,NA,NA,"1988 Fall European Tour","Newport",NA,"Wales",1988,1,-2.991032,51.5908462,NA,NA
"newport-wales-51199","FLS0919",1999-05-11,"TJ's","6(pounds)",600,"Joey Picuri","Warren Russell-Smith","DAT","1999 Spring UK/Ireland Tour","Newport","","Wales",1999,1,-2.991032,51.5908462,"Very Good",5789
"nijmegen-netherlands-110989","FLS0152",1989-11-09,"Doornroosje",NA,452.105263157895,"ANON",NA,"Radio Broadcast","1989 Fall European Tour","Nijmegen","","Netherlands",1989,1,5.853923,51.8443756,"Very Good",5347
