"gid","flsid","date","venue","doorprice","attendance","recorded_by","mastered_by","original_source","tour","city","subdivision","country","year","checked","x","y","sound_quality","seconds"
"dublin-ireland-51192","FLS0439",1992-05-11,"SFX",NA,1300,"Joey Picuri","Warren Russell-Smith","Cassette","1992 Spring European Tour","Dublin","","Ireland",1992,1,-6.25762,53.3605618,"Very Good",4761
"dublin-ireland-91790","FLS0259",1990-09-17,"McGonagles",NA,800,"Joey Picuri","Warren Russell-Smith","Cassette","1990 Fall European Tour","Dublin","","Ireland",1990,1,-6.258767,53.3409553,"Good",2838
"dunedin-new-zealand-120993","FLS0621",1993-12-09,"Sammy's",NA,550,"Joey Picuri","Warren Russell-Smith","Cassette","1993 Japan/Australia/New Zealand Tour","Dunedin","","New Zealand",1993,1,170.50244,-45.8802642,"Very Good",5885
"dunedin-new-zealand-70197","FLS0832",1997-07-01,"Room",NA,967.5,"Nick Pellicciotto","Fugazi","DAT","1997 Summer Australia/New Zealand Tour","Dunedin",NA,"New Zealand",1997,1,170.503651,-45.8756827,"Very Good",5237
"durham-nh-usa-50497","FLS0816",1997-05-04,"University of New Hampshire M.U.B.","5",900,"Nick Pellicciotto","Warren Russell-Smith","DAT","1997 East Coast USA Tour","Durham","NH","USA",1997,1,-70.930152,43.1340422,"Very Good",5486
"dusseldorf-germany-110188","FLS0066",1988-11-01,"AK47",NA,198.714285714286,NA,NA,NA,"1988 Fall European Tour","Dusseldorf",NA,"Germany",1988,1,6.809509,51.219203,NA,NA
"east-lansing-mi-12088","FLS1048",1988-01-20,"Matt Kelly's Basement","$3",198.714285714286,NA,NA,NA,"1988 Winter Michigan Dates","Lansing","MI","USA",1988,1,-84.570765,42.7106863,NA,NA
"eau-claire-wi-usa-111498","FLS0874",1998-11-14,"University of Wisconsin, Fire Room","5",900,"Joey Picuri","Warren Russell-Smith","DAT","1998 Fall Mid-West USA Tour","Eau Claire","WI","USA",1998,1,-91.500235,44.7985941,"Good",5212
"edinburgh-scotland-50399","FLS0913",1999-05-03,"Liquid Room","6(pounds)",500,"Joey Picuri","Warren Russell-Smith","DAT","1999 Spring UK/Ireland Tour","Edinburgh","","Scotland",1999,1,-3.193651,55.9484736,"Good",5678
"edinburgh-scotland-91590","FLS0257",1990-09-15,"Calton Studios",NA,700,"Joey Picuri",NA,"Cassette","1990 Fall European Tour","Edinburgh","","Scotland",1990,1,-3.179312,55.9526116,"Very Good",5138
"edmond-ok-usa-53091","FLS0352",1991-05-30,"Edmond Historical Society Preservation Hall","5",600,"Joey Picuri","Jerry Busher","Cassette","1991 Spring USA Tour","Edmond","OK","USA",1991,1,-97.478659,35.6500656,"Very Good",3904
"edmonton-ab-canada-70201","FLS1008",2001-07-02,"Polish Hall","12 (can)",1000,"Joey Picuri","Warren Russell-Smith","DAT","2001 Summer Mid-West/Canada Tour","Edmonton","AB","Canada",2001,1,-113.500007,53.5563424,"Very Good",5150
"eindhoven-netherlands-101988","FLS0057",1988-10-19,"Bunker",NA,198.714285714286,NA,NA,NA,"1988 Fall European Tour","Eindhoven",NA,"Netherlands",1988,1,5.479789,51.4469876,NA,NA
"eindhoven-netherlands-120889","FLS0174",1989-12-08,"Effenaar",NA,452.105263157895,"ANON","Warren Russell-Smith","Cassette","1989 Fall European Tour","Eindhoven",NA,"Netherlands",1989,1,5.483291,51.4416551,"Good",4176
"eindhoven-netherlands-121688","FLS0091",1988-12-16,"Effenaar",NA,198.714285714286,NA,NA,NA,"1988 Fall European Tour","Eindhoven",NA,"Netherlands",1988,1,5.483291,51.4416551,NA,NA
"eindhoven-netherlands-50495","FLS0655",1995-05-04,"Effenaar",NA,1000,"Joey Picuri","Warren Russell-Smith","Cassette","1995 Spring/Summer European Tour","Eindhoven",NA,"Netherlands",1995,1,5.483291,51.4416551,"Excellent",5829
"eindhoven-netherlands-90590","FLS0248",1990-09-05,"Effenaar","10 Gilders",700,"Joey Picuri","Warren Russell-Smith","Cassette","1990 Fall European Tour","Eindhoven",NA,"Netherlands",1990,1,5.483291,51.4416551,"Good",5474
"el-paso-tx-usa-111495","FLS0758",1995-11-14,"Metropolis","5",861,"Joey Picuri","Warren Russell-Smith","DAT","1995 Fall USA/Canada Tour","El Paso","TX","USA",1995,1,-106.32012,31.7469212,"Good",4648
"el-paso-tx-usa-40901","FLS0986",2001-04-09,"E9","6",990,"Michael Sanderson",NA,"Cassette","2001 Spring Western USA Tour","El Paso","TX","USA",2001,1,-106.494105,31.7569872,"Good",NA
"el-paso-tx-usa-41993","FLS0524",1993-04-19,"Club 101","5",700,"Joey Picuri","Jerry Busher","DAT","1993 Spring USA Tour","El Paso","TX","USA",1993,1,-106.486737,31.7595351,"Good",4880
"encinitas-ca-usa-51590","FLS0209",1990-05-15,"La Paloma Theater","5",500,"Joey Picuri","Warren Russell-Smith","Cassette","1990 Spring/Summer USA Tour","Encinitas","CA","USA",1990,1,-117.293625,33.046375,"Poor",3898
"enschede-netherlands-90690","FLS0249",1990-09-06,"Agoara University","10 Gilders",400,"Joey Picuri","Warren Russell-Smith","Cassette","1990 Fall European Tour","Enschede","","Netherlands",1990,1,6.853513,52.2433694,"Good",4628
"eugene-or-usa-50493","FLS0536",1993-05-04,"W.O.W. Hall","5",400,"Joey Picuri","Warren Russell-Smith","DAT","1993 Spring USA Tour","Eugene","OR","USA",1993,1,-123.097074,44.0511031,"Poor",5288
