"gid","fls_link","year","tour","date","venue","city","country","played_with","attendance","sound_quality","latitude","longitude"
"athens-ga-usa-121899","<a href='https://www.dischord.com/fugazi_live_series/athens-ga-usa-121899' target='_blank'>athens-ga-usa-121899</a>",1999,"1999 Fall/Winter Southern USA Tour",1999-12-18,"40 Watt","Athens","USA","Faraquet",900,"Very Good",33.9582921,-83.380061
"athens-ga-usa-21893","<a href='https://www.dischord.com/fugazi_live_series/athens-ga-usa-21893' target='_blank'>athens-ga-usa-21893</a>",1993,"1993 Winter Southern USA Tour",1993-02-18,"40 Watt","Athens","USA","Shudder to Think",500,"Very Good",33.9582921,-83.380061
"athens-ga-usa-21993","<a href='https://www.dischord.com/fugazi_live_series/athens-ga-usa-21993' target='_blank'>athens-ga-usa-21993</a>",1993,"1993 Winter Southern USA Tour",1993-02-19,"40 Watt","Athens","USA","Superchunk",1000,"Very Good",33.9582921,-83.380061
"athens-ga-usa-21993","<a href='https://www.dischord.com/fugazi_live_series/athens-ga-usa-21993' target='_blank'>athens-ga-usa-21993</a>",1993,"1993 Winter Southern USA Tour",1993-02-19,"40 Watt","Athens","USA","Unrest",1000,"Very Good",33.9582921,-83.380061
"athens-ga-usa-31490","<a href='https://www.dischord.com/fugazi_live_series/athens-ga-usa-31490' target='_blank'>athens-ga-usa-31490</a>",1990,"1990 Spring Southern USA Tour",1990-03-14,"40 Watt","Athens","USA","Rein Sanction",350,"Very Good",33.9582921,-83.380061
"athens-ga-usa-32696","<a href='https://www.dischord.com/fugazi_live_series/athens-ga-usa-32696' target='_blank'>athens-ga-usa-32696</a>",1996,"1996 Southern USA Tour",1996-03-26,"40 Watt","Athens","USA","Branch Manager",975,"Very Good",33.9582921,-83.380061
"athens-ga-usa-32696","<a href='https://www.dischord.com/fugazi_live_series/athens-ga-usa-32696' target='_blank'>athens-ga-usa-32696</a>",1996,"1996 Southern USA Tour",1996-03-26,"40 Watt","Athens","USA","Vic Chesnutt",975,"Very Good",33.9582921,-83.380061
"athens-ga-usa-50389","<a href='https://www.dischord.com/fugazi_live_series/athens-ga-usa-50389' target='_blank'>athens-ga-usa-50389</a>",1989,"1989 Spring USA Tour",1989-05-03,"40 Watt","Athens","USA","Angle Lake",300,"Good",33.9582921,-83.380061
"athens-ga-usa-51191","<a href='https://www.dischord.com/fugazi_live_series/athens-ga-usa-51191' target='_blank'>athens-ga-usa-51191</a>",1991,"1991 Spring USA Tour",1991-05-11,"40 Watt","Athens","USA","Porn Orchard",700,"Good",33.9582921,-83.380061
"athens-ga-usa-60388","<a href='https://www.dischord.com/fugazi_live_series/athens-ga-usa-60388' target='_blank'>athens-ga-usa-60388</a>",1988,"1988 Spring USA Tour",1988-06-03,"40 Watt","Athens","USA","Jackonuts",150,NA,33.9582921,-83.380061
"atlanta-ga-usa-121799","<a href='https://www.dischord.com/fugazi_live_series/atlanta-ga-usa-121799' target='_blank'>atlanta-ga-usa-121799</a>",1999,"1999 Fall/Winter Southern USA Tour",1999-12-17,"Masquerade","Atlanta","USA","Allscars",1200,"Very Good",33.7706759,-84.364432
"atlanta-ga-usa-121799","<a href='https://www.dischord.com/fugazi_live_series/atlanta-ga-usa-121799' target='_blank'>atlanta-ga-usa-121799</a>",1999,"1999 Fall/Winter Southern USA Tour",1999-12-17,"Masquerade","Atlanta","USA","Faraquet",1200,"Very Good",33.7706759,-84.364432
"atlanta-ga-usa-20993","<a href='https://www.dischord.com/fugazi_live_series/atlanta-ga-usa-20993' target='_blank'>atlanta-ga-usa-20993</a>",1993,"1993 Winter Southern USA Tour",1993-02-09,"Masquerade","Atlanta","USA","Shudder to Think",1350,"Good",33.7706759,-84.364432
