"gid","fls_id","played_with"
"schenectady-ny-usa-92689","FLS0139","Dead Stop"
"schenectady-ny-usa-92689","FLS0139","Supertouch"
"ottawa-on-canada-92989","FLS0140","Harsh Reality"
"ottawa-on-canada-92989","FLS0140","The Trapt"
"guelph-on-canada-93089","FLS0141","Noise Floor"
"guelph-on-canada-93089","FLS0141","Shades Apart"
"toronto-on-canada-100189","FLS0142","Guilt Parade"
"toronto-on-canada-100189","FLS0142","Phleg Camp"
"rochester-ny-usa-100289","FLS0143","Hunger Artist"
"rochester-ny-usa-100289","FLS0143","Pressurehead"
"burlington-vt-usa-100489","FLS0144","Worship"
"providence-ri-usa-100589","FLS0145","Jungle Dogs"
"providence-ri-usa-100589","FLS0145","Rain Forest"
"cambridge-ma-usa-100689","FLS0146","Cabal"
"cambridge-ma-usa-100689","FLS0146","Trustfall"
"norwalk-ct-usa-100789","FLS0147","Fun House"
"norwalk-ct-usa-100789","FLS0147","Shades Apart"
"hoboken-nj-usa-100889","FLS0148","Holy Rollers"
"new-york-ny-usa-100989","FLS0149","Holy Rollers"
"washington-dc-usa-101589","FLS0150","200 Stitches"
"washington-dc-usa-101589","FLS0150","All White Jury"
"washington-dc-usa-101589","FLS0150","Cabal"
"washington-dc-usa-101589","FLS0150","Caroline Ely"
"washington-dc-usa-101589","FLS0150","Choke"
"washington-dc-usa-101589","FLS0150","Daryl Stover"
"washington-dc-usa-101589","FLS0150","Dog Born Society"
"washington-dc-usa-101589","FLS0150","Fidelity Jones"
"washington-dc-usa-101589","FLS0150","Juliana Experience"
"washington-dc-usa-101589","FLS0150","Lungfish"
"washington-dc-usa-101589","FLS0150","Moss Icon"
"washington-dc-usa-101589","FLS0150","Neverman"
"washington-dc-usa-101589","FLS0150","Tiik"
"washington-dc-usa-101589","FLS0150","Transilience"
"washington-dc-usa-101589","FLS0150","Weatherhead"
"amsterdam-netherlands-110389","FLS0151","Swamp surfers"
"canterbury-england-111389","FLS0153","Snuff"
"brighton-england-111489","FLS0154","Sex and The Sand"
"brighton-england-111489","FLS0154","Silverfish"
"portsmouth-england-111589","FLS0155","AC Temple"
"exeter-england-111689","FLS0156","Mad at the Sun"
"exeter-england-111689","FLS0156","Perfect Daze"
"birmingham-england-111989","FLS0157","Anhrefn"
"birmingham-england-111989","FLS0157","Visions of Change"
"leeds-england-112089","FLS0158","Chumbawamba"
"leeds-england-112089","FLS0158","Thatcher on Acid"
"nottingham-england-112189","FLS0159","Drive"
"nottingham-england-112189","FLS0159","Fudgetunnel"
"nottingham-england-112189","FLS0159","Sofahead"
"nottingham-england-112189","FLS0159","Visions of Change"
"bristol-england-112289","FLS0160","Anhrefn"
"bristol-england-112289","FLS0160","Visions of Change"
"dublin-ireland-112389","FLS0161","Not Our World"
"dublin-ireland-112389","FLS0161","The Slowest Clock"
